date,Close,High,Low,Open,Volume,stockname
2018-01-02,138.787109375,140.65137720500755,138.2664495720122,140.5002137739085,1281100,ITW
2018-01-03,139.36656188964844,139.51771252458545,137.65344447804551,138.4260220664023,1547300,ITW
2018-01-04,139.5260772705078,140.17269586554033,138.14887179371294,138.5603586839549,1392200,ITW
2018-01-05,139.4253692626953,140.3239187259842,138.333678563023,140.00480578556798,1442600,ITW
2018-01-08,140.7185821533203,141.60031985724595,139.2237976411503,139.4589422177465,2292300,ITW
2018-01-09,141.8018035888672,142.2888656842783,140.68492180669045,140.81928641515856,1116500,ITW
2018-01-10,140.500244140625,141.73469237091365,139.95440526381796,141.73469237091365,1027200,ITW
2018-01-11,141.91941833496094,141.98660066235155,140.23989859135193,140.55901144302766,830200,ITW
2018-01-12,143.19586181640625,144.03562171687872,142.0369890533641,142.26372781433304,953200,ITW
2018-01-16,142.10415649414062,144.37150542511185,141.70107537198788,143.95162551886835,1365300,ITW
2018-01-17,143.61575317382812,144.43871435381635,142.80118498057234,143.2042661769739,1135800,ITW
2018-01-18,143.02792358398438,144.61506940744496,142.56605303986194,143.60734719709777,918800,ITW
2018-01-19,144.79141235351562,144.97616057183942,143.37221595535573,143.71652061802462,1245400,ITW
2018-01-22,145.60595703125,145.60595703125,143.54014220261624,144.79138896758352,1141500,ITW
2018-01-23,145.328857421875,145.74873740417036,144.60666333977818,145.471615078209,1497400,ITW
2018-01-24,145.9167022705078,149.18336836578936,144.88380099263483,147.8061623907182,2294700,ITW
2018-01-25,146.75645446777344,147.36108269897156,144.13640734172887,146.29459671409006,1535500,ITW
2018-01-26,150.21627807617188,150.23306405087135,146.7396720689324,147.41146984110298,1851000,ITW
2018-01-29,148.5535430908203,150.37583361861553,147.94052186126308,149.95595360669833,1507600,ITW
2018-01-30,147.1175537109375,147.86493958447272,146.38696662493132,147.57942426508183,1360100,ITW
2018-01-31,145.8411102294922,148.11686535154436,145.2364820352097,147.77256069379905,1529400,ITW
2018-02-01,145.34561157226562,146.65563466451388,144.20353785861298,144.942530500893,1263000,ITW
2018-02-02,143.07827758789062,145.48838409267256,142.6332059228344,144.36310904568955,1518800,ITW
2018-02-05,135.30210876464844,143.85087106932954,134.7226723929733,142.36449248290882,2068100,ITW
2018-02-06,137.8381805419922,138.56037452174516,131.220868858382,132.85841080825003,2478200,ITW
2018-02-07,137.2504119873047,140.78579532700854,136.98168256713888,137.42675445727997,1631700,ITW
2018-02-08,131.1285400390625,137.64508689163452,130.97738936525226,137.2168010217266,2062600,ITW
2018-02-09,134.4707794189453,135.66323713910396,129.86888516998673,132.84164288977658,2279700,ITW
2018-02-12,135.5540313720703,137.07399462708287,133.8073293731913,135.21813256270514,1766400,ITW
2018-02-13,135.91517639160156,136.32665063703746,134.54636333746464,134.67232222612418,1205000,ITW
2018-02-14,136.43577575683594,136.99002030023274,134.68907383486032,134.7730549403632,1348900,ITW
2018-02-15,137.18321228027344,137.88860769839883,135.66324852917384,137.30077818329434,1118900,ITW
2018-02-16,136.50296020507812,138.40921856897634,136.3098190358737,136.8136672355876,1613600,ITW
2018-02-20,135.48681640625,136.91440522269764,134.90738020803113,135.6967563149545,1537300,ITW
2018-02-21,135.41966247558594,138.0145300293627,135.38607772119005,135.6799987804548,1225300,ITW
2018-02-22,137.14962768554688,138.5520255353811,135.66324869899728,136.27626999310775,1283500,ITW
2018-02-23,137.68704223632812,138.41762926694858,136.4274023552752,138.1069221966791,773600,ITW
2018-02-26,138.93826293945312,139.19019345414998,137.3007338145009,137.82138081481435,981500,ITW
2018-02-27,137.08238220214844,140.2734589080424,137.04039165313057,138.9382440198031,762200,ITW
2018-02-28,135.57089233398438,138.2665154717959,135.56248653097822,137.52753518952787,1172000,ITW
2018-03-01,133.05157470703125,136.59536288570024,132.21181471803328,135.6716217723143,1871600,ITW
2018-03-02,133.15232849121094,133.6393907737741,131.2460699189536,132.26218504207523,1412200,ITW
2018-03-05,134.09283447265625,134.747858884561,131.80029387900004,132.63166066764597,1840300,ITW
2018-03-06,135.74720764160156,135.96555345648446,134.15166866404363,134.85706403430788,1230500,ITW
2018-03-07,136.88088989257812,137.49391114904026,133.56384021559433,134.14327670766636,1194700,ITW
2018-03-08,139.610107421875,139.92081453800202,137.37634262783186,137.98097088507242,2453000,ITW
2018-03-09,143.01112365722656,143.6745283871559,139.84522502225516,140.3910638704102,2205000,ITW
2018-03-12,142.08737182617188,143.33861868402496,140.94529785517793,143.17906225360596,1832200,ITW
2018-03-13,142.70040893554688,144.16998891789686,142.25533716598994,142.5828430495077,1647300,ITW
2018-03-14,142.20492553710938,143.80047689112243,141.58351146805794,143.3637981947515,2172800,ITW
2018-03-15,142.91033935546875,144.2959509341988,142.00340990321595,142.4904593886511,1184300,ITW
2018-03-16,143.5653533935547,144.29594038200008,142.50724775377168,143.2966240838578,1940600,ITW
2018-03-19,140.7689666748047,143.30503253676687,139.27419496600947,142.9523348900116,1653700,ITW
2018-03-20,140.91171264648438,142.00340307042524,140.34066925595508,141.16364317719675,1402800,ITW
2018-03-21,141.26443481445312,142.84318778848552,140.02998653177397,140.91173713564783,1317800,ITW
2018-03-22,136.67095947265625,140.35750588536055,136.3518465267989,139.86205049006185,1277300,ITW
2018-03-23,131.76670837402344,137.7457938264156,131.56516141660947,136.93122582572855,1898700,ITW
2018-03-26,134.3699493408203,134.89060908502893,131.33841621297842,134.47912220574923,1510100,ITW
2018-03-27,130.70022583007812,134.8570346294264,129.83527418791203,134.66389344690782,1567300,ITW
2018-03-28,129.8562469482422,131.7636589046777,129.18950079690617,131.07159409432,1891000,ITW
2018-03-29,132.21942138671875,133.68795513259946,130.32044467814055,130.7002374442042,1148800,ITW
2018-04-02,129.01220703125,131.6538977046627,127.22295380691556,131.40913359182156,2008800,ITW
2018-04-03,131.12225341796875,131.23197621098333,128.7590794460242,129.66215469688734,1582700,ITW
2018-04-04,133.37571716308594,133.61203329471903,127.98262244784571,128.1767365106308,1868600,ITW
2018-04-05,133.95806884765625,135.1058955487221,133.13096240782235,134.15218290554049,1493700,ITW
2018-04-06,128.79283142089844,133.05496903874507,127.72939617291593,132.5823368744242,1514800,ITW
2018-04-09,128.7843780517578,131.5104739031103,128.56494537816633,129.90688583556292,1011900,ITW
2018-04-10,131.88182067871094,132.93680776205667,130.3457661820549,131.8227480987389,1909600,ITW
2018-04-11,130.3963623046875,131.32475579602337,129.6874142994435,130.51452030556152,898900,ITW
2018-04-12,131.44293212890625,132.3797610087273,130.83525864587324,131.1812845606703,933400,ITW
2018-04-13,130.8352813720703,132.62453533943017,130.28668036329245,132.51481256202254,732000,ITW
2018-04-16,131.9662322998047,132.45574787970045,131.2319653690916,132.1519110672914,836400,ITW
2018-04-17,133.32505798339844,133.85677563157043,132.34602681091897,132.7427030122122,802700,ITW
2018-04-18,134.53192138671875,135.2155637006648,132.7173491098114,133.924247915383,1270000,ITW
2018-04-19,134.27027893066406,134.74291096362467,132.96209270341143,134.4644057771177,976400,ITW
2018-04-20,133.5951385498047,134.7598485841622,132.9959130091296,134.24501429575542,1181300,ITW
2018-04-23,132.1687774658203,134.10150799734433,131.80585523850448,133.72171525025334,1128600,ITW
2018-04-24,126.30304718017578,133.34193071603,124.56443054505525,132.65828827524768,2220600,ITW
