Price,Close,High,Low,Open,Volume
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV
Date,,,,,
2018-01-02,71.01365661621094,71.36724404376434,69.81578113957303,70.09720865411838,4561300
2018-01-03,72.12493896484375,72.23318159845036,70.74666631363009,71.11468906571291,4702300
2018-01-04,71.71361541748047,72.2476108975595,70.9703578366756,72.21152818753168,3579000
2018-01-05,72.96198272705078,73.02692498015172,71.12187514626582,71.68473002826207,4599300
2018-01-08,71.79297637939453,73.08465892243284,70.84766905402937,73.08465892243284,5582000
2018-01-09,72.33416748046875,72.63724779179488,71.22288768679576,71.79296011049173,4055400
2018-01-10,71.93733215332031,72.30534944027131,71.56930936091966,71.90846708083303,4608600
2018-01-11,72.1480712890625,72.30796515721725,71.63205369770621,72.22075435272502,4240900
2018-01-12,72.92572784423828,73.14376593177477,71.70473229783848,72.19894161236854,4372600
2018-01-16,74.48833465576172,74.85899726275272,72.6786381191774,72.86760413087048,8528600
2018-01-17,75.847412109375,76.19626639784252,74.53193079526311,74.85898238381878,5384900
2018-01-18,75.44767761230469,76.20353596541678,75.17877025293467,75.79653744640987,6371200
2018-01-19,76.05093383789062,76.21809716150184,75.2587392673633,75.8256318123169,4991300
2018-01-22,77.3954849243164,77.43182646357948,75.92010936725758,76.09453655685154,4538100
2018-01-23,76.58873748779297,77.74433057593951,76.3343633944712,77.16289932411317,5095300
2018-01-24,76.68323516845703,77.20652226741345,75.65846367551066,76.5015385671494,4436500
2018-01-25,78.7109603881836,78.76183520860128,76.85038364518026,77.00300810643334,6327500
2018-01-26,89.54733276367188,91.47331742583735,82.49023897572297,83.21702522220511,19614500
2018-01-29,88.89322662353516,90.23051623940425,86.47303256636965,88.3045315211083,10182700
2018-01-30,84.22000122070312,88.2682010154574,84.21273734947535,86.7928255949996,11851400
2018-01-31,81.55996704101562,84.67061180645732,80.88405549750125,84.45984309450768,15744800
2018-02-01,84.55432891845703,85.4192065272907,81.56724185207032,81.57450572386837,9943500
2018-02-02,83.70398712158203,85.70991910855386,83.52229052426422,83.94382796082716,7184400
2018-02-05,79.59037017822266,83.97289073028544,79.51042324071078,82.12685284172473,9827800
2018-02-06,80.81864166259766,82.50478580953146,73.40542294908217,76.24716030105839,14107800
2018-02-07,82.57748413085938,84.92500142082551,80.94947837840961,81.0512280448201,10030800
2018-02-08,78.84178161621094,82.85363962125628,78.72549314464523,82.36669412268876,7212400
2018-02-09,80.89131927490234,81.94515721624857,77.33733462947352,79.63397650711023,8909300
2018-02-12,81.34918975830078,82.36669167449945,80.41890419318406,81.81433254085914,4823300
2018-02-13,81.2983169555664,81.69805164342942,80.22994019431388,81.06574555852052,5316200
2018-02-14,82.18499755859375,82.61379882145155,80.14999366536269,80.70235281551504,6189100
2018-02-15,83.50772857666016,84.54703297842958,81.67622439909672,82.57744320485445,7401100
2018-02-16,86.19684600830078,86.63291663852357,83.72577171045313,83.74757995516234,8717000
2018-02-20,85.74626159667969,88.34088881334753,85.1939023821262,85.55729558079084,8751400
2018-02-21,85.69537353515625,88.15917859797662,85.65176258749281,86.1169053663478,5122500
2018-02-22,85.44098663330078,87.0181169519513,84.72873923966144,86.17504227138687,5185700
2018-02-23,86.30587768554688,86.71287626067274,84.95405465251913,86.05877299206037,4685700
2018-02-26,88.33363342285156,88.46445521694099,86.51666714102133,86.68382493378273,4473500
2018-02-27,85.94976043701172,88.66793999577435,85.87708290665894,88.09377807958923,4754300
2018-02-28,84.18366241455078,87.21436009714091,84.14732087986776,86.48757376299807,6660000
2018-03-01,82.73735809326172,84.75055945291587,81.26198264232569,84.24181120946896,7148900
2018-03-02,83.60950469970703,83.92202306071495,81.3201265244109,82.08325443115626,5439700
2018-03-05,84.06010437011719,84.5397804347657,82.04690325584973,82.8536364756552,3975700
2018-03-06,83.26065063476562,84.52526299995714,82.73009965247869,84.31449427242522,3650500
